#ies_format_version: 1.0
#file: 20241212_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241212;	115432;	1734000872.000;	     err7
20241212;	115437;	1734000877.000;	   +0.642
20241212;	115442;	1734000882.000;	   +0.675
20241212;	115447;	1734000887.000;	   +0.000
20241212;	115452;	1734000892.000;	   +0.927
20241212;	115457;	1734000897.000;	   +0.277
20241212;	115502;	1734000902.000;	   +0.547
20241212;	115507;	1734000907.000;	   +0.258
20241212;	115512;	1734000912.000;	   +0.619
20241212;	115517;	1734000917.000;	   +0.225
20241212;	115522;	1734000922.000;	   +0.211
20241212;	115527;	1734000927.000;	   +0.211
20241212;	115532;	1734000932.000;	   +0.208
20241212;	115537;	1734000937.000;	   +0.217
20241212;	115542;	1734000942.000;	   +0.237
20241212;	115547;	1734000947.000;	   +0.138
20241212;	115552;	1734000952.000;	   +0.000
20241212;	115557;	1734000957.000;	   +0.000
20241212;	115602;	1734000962.000;	   +0.171
20241212;	115607;	1734000967.000;	   +0.071
20241212;	115612;	1734000972.000;	   +0.650
20241212;	115617;	1734000977.000;	   +0.000
20241212;	115622;	1734000982.000;	   +0.401
20241212;	115627;	1734000987.000;	   +0.000
20241212;	115632;	1734000992.000;	   +0.130
20241212;	115637;	1734000997.000;	   +0.139
20241212;	115642;	1734001002.000;	   +0.152
20241212;	115647;	1734001007.000;	   +0.000
20241212;	115652;	1734001012.000;	   +0.167
20241212;	115657;	1734001017.000;	   +0.167
20241212;	115702;	1734001022.000;	   +0.122
20241212;	115707;	1734001027.000;	   +0.100
20241212;	115712;	1734001032.000;	   +1.876
20241212;	115717;	1734001037.000;	   +0.000
20241212;	115722;	1734001042.000;	   +0.000
20241212;	115727;	1734001047.000;	   +0.000
20241212;	115732;	1734001052.000;	   +0.150
20241212;	115737;	1734001057.000;	   +0.273
20241212;	115742;	1734001062.000;	   +0.000
20241212;	115747;	1734001067.000;	   +0.083
20241212;	115752;	1734001072.000;	   +0.098
20241212;	115757;	1734001077.000;	   +0.111
20241212;	115802;	1734001082.000;	   +0.128
20241212;	115807;	1734001087.000;	   +0.121
20241212;	115812;	1734001092.000;	   +0.126
20241212;	115817;	1734001097.000;	   +0.129
20241212;	115822;	1734001102.000;	   +0.132
20241212;	115827;	1734001107.000;	   +0.141
20241212;	115832;	1734001112.000;	   +0.156
20241212;	115837;	1734001117.000;	   +0.000
20241212;	115842;	1734001122.000;	   +0.126
20241212;	115847;	1734001127.000;	   +0.132
20241212;	115852;	1734001132.000;	   +0.238
20241212;	115857;	1734001137.000;	   +0.087
20241212;	115902;	1734001142.000;	   +0.113
20241212;	115907;	1734001147.000;	   +0.120
20241212;	115912;	1734001152.000;	   +0.153
20241212;	115917;	1734001157.000;	   +0.173
20241212;	115922;	1734001162.000;	   +0.000
20241212;	115927;	1734001167.000;	   +0.121
20241212;	115932;	1734001172.000;	   +0.148
20241212;	115937;	1734001177.000;	   +0.210
20241212;	115942;	1734001182.000;	   +0.148
20241212;	115947;	1734001187.000;	   +0.413
20241212;	115952;	1734001192.000;	   +0.012
20241212;	115957;	1734001197.000;	   +0.195
20241212;	120002;	1734001202.000;	   +0.000
20241212;	120007;	1734001207.000;	   +0.000
20241212;	120012;	1734001212.000;	   +0.100
20241212;	120017;	1734001217.000;	   +0.000
20241212;	120022;	1734001222.000;	   +0.000
20241212;	120027;	1734001227.000;	   +0.098
20241212;	120032;	1734001232.000;	   +0.129
20241212;	120037;	1734001237.000;	   +0.134
20241212;	120042;	1734001242.000;	   +0.081
20241212;	120047;	1734001247.000;	   +0.115
20241212;	120052;	1734001252.000;	   +0.121
20241212;	120057;	1734001257.000;	   +0.121
20241212;	120102;	1734001262.000;	   +0.120
20241212;	120107;	1734001267.000;	   +0.122
20241212;	120112;	1734001272.000;	   +0.130
20241212;	120117;	1734001277.000;	   +0.140
20241212;	120122;	1734001282.000;	   +0.141
20241212;	120127;	1734001287.000;	   +0.222
20241212;	120132;	1734001292.000;	   +0.566
20241212;	120137;	1734001297.000;	   +1.658
20241212;	120142;	1734001302.000;	   +0.114
20241212;	120147;	1734001307.000;	   +0.131
20241212;	120152;	1734001312.000;	   +0.144
20241212;	120157;	1734001317.000;	   +0.102
20241212;	120202;	1734001322.000;	   +0.137
20241212;	120207;	1734001327.000;	   +0.132
20241212;	120212;	1734001332.000;	   +0.143
20241212;	120217;	1734001337.000;	   +0.135
20241212;	120222;	1734001342.000;	   +0.147
20241212;	120227;	1734001347.000;	   +0.133
20241212;	120232;	1734001352.000;	   +0.138
20241212;	120237;	1734001357.000;	   +0.216
20241212;	120242;	1734001362.000;	   +0.120
20241212;	120247;	1734001367.000;	   +0.206
20241212;	120252;	1734001372.000;	   +0.000
20241212;	120257;	1734001377.000;	   +0.385
20241212;	120302;	1734001382.000;	   +0.000
20241212;	120307;	1734001387.000;	   +0.145
20241212;	120312;	1734001392.000;	   +0.000
