#ies_format_version: 1.0
#file: 20241213_2500.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 2.5
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
YYYYMMDD;	hhmmss;	unixtimestamp;	power_electric_vehicle
20241213;	111707;	1734085027.500;	   +0.017
20241213;	111710;	1734085030.000;	   +0.017
20241213;	111712;	1734085032.500;	   +0.017
20241213;	111715;	1734085035.000;	   +0.017
20241213;	111717;	1734085037.500;	   +0.017
20241213;	111720;	1734085040.000;	   +0.017
20241213;	111722;	1734085042.500;	   +0.017
20241213;	111725;	1734085045.000;	   +0.017
20241213;	111727;	1734085047.500;	   +0.017
20241213;	111730;	1734085050.000;	   +0.017
20241213;	111732;	1734085052.500;	   +0.017
20241213;	111735;	1734085055.000;	   +0.017
20241213;	111737;	1734085057.500;	   +0.017
20241213;	111740;	1734085060.000;	   +0.017
20241213;	111742;	1734085062.500;	   +0.017
20241213;	111745;	1734085065.000;	   +0.017
20241213;	111747;	1734085067.500;	   +0.016
20241213;	111750;	1734085070.000;	   +0.016
20241213;	111752;	1734085072.500;	   +0.017
