#ies_format_version: 1.0
#file: 20241213_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20241213;	112655;	1734085615.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20241213;	112700;	1734085620.000;	   +5.972;	   +0.030;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.005;	   +0.000
20241213;	112705;	1734085625.000;	   +6.528;	   +0.031;	   -4.191;	   +0.017;	    err28;	    err28;	idle                ;	   +0.011;	   +0.000
20241213;	112710;	1734085630.000;	   +6.053;	   +0.030;	   -3.814;	   +0.017;	   +0.017;	   +5.972;	idle                ;	   +0.016;	   +0.000
20241213;	112715;	1734085635.000;	   +7.472;	   +0.030;	   -5.172;	   +0.017;	   +0.017;	   +6.528;	idle                ;	   +0.023;	   +0.000
20241213;	112720;	1734085640.000;	   +7.517;	   +0.030;	   -5.270;	   +0.017;	   +0.017;	   +6.053;	idle                ;	   +0.031;	   +0.000
20241213;	112725;	1734085645.000;	   +7.437;	   +0.030;	   -5.158;	   +0.017;	   +0.017;	   +7.472;	idle                ;	   +0.038;	   +0.000
20241213;	112730;	1734085650.000;	   +7.367;	   +0.030;	   -5.119;	   +0.017;	   +0.017;	   +7.517;	idle                ;	   +0.045;	   +0.000
20241213;	112735;	1734085655.000;	   +7.287;	   +0.030;	   -5.043;	   +0.017;	   +0.017;	   +7.437;	idle                ;	   +0.052;	   +0.000
20241213;	112740;	1734085660.000;	   +7.292;	   +0.030;	   -5.058;	   +0.016;	   +0.017;	   +7.367;	idle                ;	   +0.059;	   +0.000
20241213;	112745;	1734085665.000;	   +7.132;	   +0.030;	   -4.941;	   +0.017;	   +0.017;	   +7.287;	idle                ;	   +0.066;	   +0.000
20241213;	112750;	1734085670.000;	   +7.125;	   +0.030;	   -4.849;	   +0.017;	   +0.016;	   +7.292;	idle                ;	   +0.073;	   +0.000
20241213;	112755;	1734085675.000;	   +6.807;	   +0.030;	   -6.731;	   +0.017;	   +0.017;	   +7.132;	idle                ;	   +0.082;	   +0.000
20241213;	112800;	1734085680.000;	   +6.653;	   +0.030;	   -6.530;	   +0.017;	   +0.017;	   +7.125;	idle                ;	   +0.091;	   +0.000
20241213;	112805;	1734085685.000;	   +6.622;	   +0.030;	   -6.660;	   +0.017;	   +0.017;	   +6.807;	idle                ;	   +0.100;	   +0.000
20241213;	112810;	1734085690.000;	   +6.316;	   +0.030;	   -6.229;	   +0.016;	   +0.017;	   +6.653;	idle                ;	   +0.109;	   +0.000
20241213;	112815;	1734085695.000;	   +6.851;	   +0.030;	   -6.718;	   +0.017;	   +0.017;	   +6.622;	idle                ;	   +0.118;	   +0.000
20241213;	112820;	1734085700.000;	   +6.765;	   +0.030;	   -6.673;	   +0.017;	   +0.016;	   +6.316;	idle                ;	   +0.128;	   +0.000
20241213;	112825;	1734085705.000;	   +7.365;	   +0.030;	   -7.237;	   +0.017;	   +0.017;	   +6.851;	idle                ;	   +0.138;	   +0.000
20241213;	112830;	1734085710.000;	   +7.235;	   +0.030;	   -7.190;	   +0.017;	   +0.017;	   +6.765;	idle                ;	   +0.148;	   +0.000
20241213;	112835;	1734085715.000;	   +7.495;	   +0.030;	   -7.393;	   +0.017;	   +0.017;	   +7.365;	idle                ;	   +0.158;	   +0.000
20241213;	112840;	1734085720.000;	   +7.702;	   +0.030;	   -7.600;	   +0.017;	   +0.017;	   +7.235;	idle                ;	   +0.168;	   +0.000
20241213;	112845;	1734085725.000;	   +6.138;	   +0.030;	   -6.221;	   +0.017;	   +0.017;	   +7.495;	idle                ;	   +0.177;	   +0.000
20241213;	112850;	1734085730.000;	   +6.253;	   +0.030;	   -5.824;	   +0.017;	   +0.017;	   +7.702;	idle                ;	   +0.185;	   +0.000
20241213;	112855;	1734085735.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112900;	1734085740.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112905;	1734085745.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112910;	1734085750.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112915;	1734085755.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112920;	1734085760.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112925;	1734085765.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112930;	1734085770.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112935;	1734085775.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112940;	1734085780.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112945;	1734085785.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112950;	1734085790.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	112955;	1734085795.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113000;	1734085800.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113005;	1734085805.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113010;	1734085810.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113015;	1734085815.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113020;	1734085820.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113025;	1734085825.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113030;	1734085830.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113035;	1734085835.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113040;	1734085840.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113045;	1734085845.000;	    err32;	    err32;	    err32;	    err32;	    err32;	    err32;	               err32;	    err32;	    err32
20241213;	113050;	1734085850.000;	     err7;	     err7;	     err7;	     err7;	     err7;	     err7;	               err12;	    err12;	    err12
20241213;	113055;	1734085855.000;	   +3.546;	   +0.009;	   -3.470;	   +0.016;	    err28;	    err28;	idle                ;	   +0.005;	   +0.000
20241213;	113100;	1734085860.000;	   +3.564;	   +0.009;	     err6;	   +0.017;	    err28;	    err28;	idle                ;	   +0.010;	   +0.000
20241213;	113105;	1734085865.000;	   +3.850;	   +0.009;	   -3.637;	   +0.017;	   +0.016;	   +3.546;	idle                ;	   +0.015;	   +0.000
20241213;	113110;	1734085870.000;	   +4.261;	   +0.009;	   -4.313;	   +0.017;	   +0.017;	   +3.564;	idle                ;	   +0.021;	   +0.000
20241213;	113115;	1734085875.000;	   +7.860;	   +0.009;	   -7.944;	   +0.017;	   +0.017;	   +3.850;	idle                ;	   +0.032;	   +0.000
20241213;	113120;	1734085880.000;	   +8.232;	   +0.010;	   -7.711;	   +0.017;	   +0.017;	   +4.261;	idle                ;	   +0.042;	   +0.000
20241213;	113125;	1734085885.000;	   +6.808;	   +0.009;	   -7.935;	   +0.017;	   +0.017;	   +7.860;	idle                ;	   +0.053;	   +0.000
20241213;	113130;	1734085890.000;	   +5.976;	   +0.009;	   -5.334;	   +0.017;	   +0.017;	   +8.232;	idle                ;	   +0.061;	   +0.000
20241213;	113135;	1734085895.000;	   +7.818;	   +0.009;	   -8.296;	   +0.017;	   +0.017;	   +6.808;	idle                ;	   +0.072;	   +0.000
20241213;	113140;	1734085900.000;	   +4.550;	   +0.009;	   -4.700;	   +0.016;	   +0.017;	   +5.976;	idle                ;	   +0.079;	   +0.000
